,SettlementPoint,Year,Month,AveragePrice
111,HB_HUBAVG,2017,4,24.830486111111128
112,HB_HUBAVG,2017,5,25.905026881720417
113,HB_HUBAVG,2017,6,28.513847222222214
114,HB_HUBAVG,2017,7,31.864408602150526
115,HB_HUBAVG,2017,8,27.83861559139788
116,HB_HUBAVG,2017,9,24.51969444444443
117,HB_HUBAVG,2017,10,24.701451612903266
118,HB_HUBAVG,2017,11,23.16713888888889
119,HB_HUBAVG,2017,12,21.209852150537618
120,HB_HUBAVG,2018,1,37.77303763440862
121,HB_HUBAVG,2018,2,21.83005952380953
122,HB_HUBAVG,2018,3,22.40343203230148
123,HB_HUBAVG,2018,4,22.450305555555552
124,HB_HUBAVG,2018,5,32.83485215053763
125,HB_HUBAVG,2018,6,29.781861111111088
126,HB_HUBAVG,2018,7,78.83232526881713
127,HB_HUBAVG,2018,8,31.69458333333332
128,HB_HUBAVG,2018,9,27.05302777777778
129,HB_HUBAVG,2018,10,29.889112903225822
130,HB_HUBAVG,2018,11,30.277208333333338
131,HB_HUBAVG,2018,12,30.191989247311827
132,HB_HUBAVG,2019,1,24.68340053763441
133,HB_HUBAVG,2019,2,21.250639880952367
134,HB_HUBAVG,2019,3,27.189030955585476
135,HB_HUBAVG,2019,4,22.221166666666647
136,HB_HUBAVG,2019,5,23.88376344086022
137,HB_HUBAVG,2019,6,25.17154166666668
138,HB_HUBAVG,2019,7,29.69623655913976
139,HB_HUBAVG,2019,8,126.34983870967757
140,HB_HUBAVG,2019,9,79.4591944444445
141,HB_HUBAVG,2019,10,28.131760752688177
142,HB_HUBAVG,2019,11,23.2572361111111
143,HB_HUBAVG,2019,12,18.623373655914005
144,HB_NORTH,2016,1,19.133306451612892
145,HB_NORTH,2016,2,15.292658045977005
146,HB_NORTH,2016,3,16.859367429340523
147,HB_NORTH,2016,4,18.350666666666676
148,HB_NORTH,2016,5,17.905631720430126
149,HB_NORTH,2016,6,23.15805555555555
150,HB_NORTH,2016,7,26.8007930107527
151,HB_NORTH,2016,8,29.82838709677418
152,HB_NORTH,2016,9,26.249180555555544
153,HB_NORTH,2016,10,24.005255376344078
154,HB_NORTH,2016,11,18.66488888888888
155,HB_NORTH,2016,12,25.149045698924702
156,HB_NORTH,2017,1,22.991854838709685
157,HB_NORTH,2017,2,19.4481994047619
158,HB_NORTH,2017,3,21.227779273216694
159,HB_NORTH,2017,4,21.41055555555557
160,HB_NORTH,2017,5,23.41991935483871
161,HB_NORTH,2017,6,25.890569444444427
162,HB_NORTH,2017,7,30.65431451612902
163,HB_NORTH,2017,8,26.832728494623666
164,HB_NORTH,2017,9,23.346111111111103
165,HB_NORTH,2017,10,21.405900537634427
166,HB_NORTH,2017,11,21.59620833333333
167,HB_NORTH,2017,12,20.952997311827954
168,HB_NORTH,2018,1,37.5859005376344
169,HB_NORTH,2018,2,21.767023809523774
170,HB_NORTH,2018,3,22.608008075370122
171,HB_NORTH,2018,4,23.522916666666667
172,HB_NORTH,2018,5,35.3061424731183
173,HB_NORTH,2018,6,30.21188888888888
174,HB_NORTH,2018,7,78.96845430107523
175,HB_NORTH,2018,8,31.603051075268784
176,HB_NORTH,2018,9,27.299638888888918
177,HB_NORTH,2018,10,30.03416666666664
